slot_id,tip_texto,tema,subtema,dor_associada,novidade_0a10,impacto_0a10,evidencia_0a10,conforto_publico_0a10,risco_cliche_0a10,score_total,prioridade,uso_ideal,status,fonte_ids,fonte_principal,trecho_prova,observacoes
D22,Regra 5 para 1,EMR,Vinculo,A proporcao de interacoes positivas deve superar as correcoes.,,,,,,,manutencao,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Mantem conta emocional positiva,
D23,Reunião pós-conflito,EMR,Restauração,"Depois do conflito, ha conversa privada para reparar o vinculo.",,,,,,,restauracao,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Separa comportamento de identidade,
D24,Validacao de sentimentos,EMR,Desescalada,Reconhecer emoção antes de corrigir reduz a resistência.,,,,,,,desescalada,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,"Primeiro acolhe, depois corrige",
D25,Greeting at the door,EMR,Entrada,Receber o aluno pelo nome na porta ajuda a ler o estado da turma.,,,,,,,entrada,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Funciona como filtro de clima,
D26,Feedback positivo preciso,EMR,Reforco,Elogios especificos ensinam o comportamento desejado.,,,,,,,reforco,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Evita elogio vazio,
D27,Credibilidade e constancia emocional,Hattie,Autoridade,Calma e constancia sustentam a credibilidade do professor.,,,,,,,postura,autoridade,importada,,Gemini deep research / NotebookLM synthesis,Nao personalizar o mau comportamento,
D28,Escuta ativa / paráfrase,EMR,Comunicação,O professor parafraseia para mostrar que ouviu sem ceder a regra.,,,,,,,comunicacao,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Desescalada sem perda de limite,
D29,Positive framing,EMR,Clima,Narrar o que vai bem atrai a turma para o comportamento desejado.,,,,,,,clima,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Foco no positivo como norma social,
D30,Página limpa diaria,EMR,Recomeço,Cada aula recomeça sem carregar ressentimento do dia anterior.,,,,,,,gestao emocional,relacionamento,importada,,Gemini deep research / NotebookLM synthesis,Evita punir a identidade do aluno,
D31,Sinais nao verbais,Baixa invasividade,Correção,"Olhar, gesto e apontar para a tarefa corrigem sem dar palco.",,,,,,,correção,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Intervencao leve e discreta,
D32,Proximidade fisica,Baixa invasividade,Correção,A simples aproximacao do professor reduz conversas paralelas.,,,,,,,correção,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Presenca como barreira psicologica,
D33,Sussurro corretivo,Baixa invasividade,Correção,Correção em voz baixa evita humilhação publica.,,,,,,,correção,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Protege a face do aluno,
D34,Redirecao positiva,Baixa invasividade,Correção,Dizer o que fazer funciona melhor que dizer apenas o que parar.,,,,,,,correção,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Instrução concreta e observavel,
D35,Escolhas limitadas,Baixa invasividade,Autonomia,Oferecer duas opcoes aceitaveis desescalona a resistencia.,,,,,,,correção,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Da dignidade sem perder o limite,
D36,Finesse firme e calmo,Baixa invasividade,Tom de voz,O tom neutro e profissional reduz carga emocional da correção.,,,,,,,postura,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,"Professor como arbitro, nao como rival",
D37,Radar / be seen looking,Baixa invasividade,Vigilancia,O professor demonstra que está observando a sala.,,,,,,,prevenção,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Escaneamento comunica controle,
D38,O que fazer,Baixa invasividade,Instrucao,Instruções concretas e observaveis evitam ambiguidade.,,,,,,,instrução,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,"Olhos no quadro, canetas na mesa",
D39,Sem avisos repetidos,Baixa invasividade,Consequencia,Primeira infracao deliberada ja gera consequência pequena e clara.,,,,,,,consequência,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Evita banalizar a palavra do professor,
D40,Reset / cool-down,Baixa invasividade,Regulação emocional,Pausa curta ajuda a baixar a carga emocional da crise.,,,,,,,regulacao,gestao de sala,importada,,Gemini deep research / NotebookLM synthesis,Serve para aluno e professor,
D41,Zonas de tráfego,Ambiente físico,Espaço,A sala precisa permitir circulação livre e segura.,,,,,,,organizacao,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Evita pontos de conflito,
D42,Assentos estrategicos,Ambiente físico,Mapa de sala,Lugares são definidos por dados e não por amizade.,,,,,,,organizacao,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Separa pares que se desregulam,
D43,Regras visíveis,Ambiente físico,Normas,Poucas regras claras postadas na parede reforçam a rotina.,,,,,,,rotina,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Permite apontar sem discursar,
D44,Gestão de materiais sem toque,Ambiente físico,Logística,Distribuir e recolher materiais em poucos segundos reduz caos.,,,,,,,logistica,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Evita aglomeração e dispersão,
D45,Limpeza e transição final,Ambiente físico,Fechamento,Os últimos minutos são ritualizados para organizar a sala.,,,,,,,fechamento,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Ensina responsabilidade coletiva,
D46,Cronometro visivel,Ambiente físico,Tempo,O cronometro cria urgência e foco em tarefas.,,,,,,,tempo,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Autogestão do tempo pelos alunos,
D47,Estações diferenciadas,Ambiente físico,Zonas,Diferentes espaços sinalizam diferentes tipos de atividade.,,,,,,,organização,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Espaco comunica comportamento esperado,
D48,Iluminação e ambiente sonoro,Ambiente físico,Ambiente,Luz e som ajustam o nivel de energia da sala.,,,,,,,clima,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Estimulos sensoriais regulam a turma,
D49,Ajudantes da classe,Ambiente físico,Liderança,Dar funções a alunos canaliza energia e liderança.,,,,,,,participacao,ambiente,importada,,Gemini deep research / NotebookLM synthesis,Transforma lider da bagunca em aliado,
D50,Saida organizada,Ambiente físico,Encerramento,A turma só sai quando a sala estiver em ordem.,,,,,,,fechamento,ambiente,importada,,Gemini deep research / NotebookLM synthesis,"Professsor libera, não o sinal",
D51,Coleta obrigatória de celulares,Tecnologia,Celular,"Na entrada, os celulares vao para um suporte numerado.",,,,,,,controle,tecnologia,importada,,Gemini deep research / NotebookLM synthesis,Evidencia RCT com ganho academico,
D52,Tech breaks programados,Tecnologia,Celular,Pequenas pausas para tecnologia reduzem ansiedade e resistência.,,,,,,,pausa,tecnologia,importada,,Gemini deep research / NotebookLM synthesis,Uso previsivel e controlado,
D53,Celular como ferramenta instrucional,Tecnologia,Uso pedagógico,O celular só sai para a tarefa e volta ao fim dela.,,,,,,,uso pedagogico,tecnologia,importada,,Gemini deep research / NotebookLM synthesis,Telas para baixo quando o professor fala,
D54,Contrato de uso digital,Tecnologia,Combinados,Pais e alunos assinam regras e consequências de uso digital.,,,,,,,combinados,tecnologia,importada,,Gemini deep research / NotebookLM synthesis,Reduz disputa na aplicação,
D55,Mensagem individual de melhoria,Família,Comunicação,Uma frase semanal objetiva à família melhora o acompanhamento.,,,,,,,comunicacao,familia,importada,,Gemini deep research / NotebookLM synthesis,Foco em ação futura,
D56,Chamada de boas noticias,Família,Aliança,Mensagens positivas à família transformam o clima da relação.,,,,,,,alianca,familia,importada,,Gemini deep research / NotebookLM synthesis,Quebra o ciclo de negatividade,
D57,Relatorio diário de comportamento,Família,Monitoramento,Um cartão diário com 2 ou 3 metas conecta escola e casa.,,,,,,,monitoramento,familia,importada,,Gemini deep research / NotebookLM synthesis,Feedback imediato e simples,
D58,IA para comunicação com a familia,Família,Automação,A IA ajuda a redigir mensagens e boletins com rapidez.,,,,,,,automação,familia,importada,,Gemini deep research / NotebookLM synthesis,Economia de tempo para o professor,
D59,Reunioes de alinhamento preventivo,Família,Prevenção,Encontros curtos com pais antes da crise evitam escalada.,,,,,,,prevenção,familia,importada,,Gemini deep research / NotebookLM synthesis,Alinhamento no inicio do bimestre,
D60,Justiça restaurativa / círculos de paz,Família,Restauração,Conflitos graves podem ser mediados com reparação e responsabilidade.,,,,,,,restauracao,familia,importada,,Gemini deep research / NotebookLM synthesis,Muda obediência por responsabilização,
