dataset_id,source_file_id,source_file_name,time_start,time_end,term,max_interest,peak_date,first_nonzero_date,nonzero_months,last_value,relative_rank_in_export,search_intent,pain_inferida,confidence,notes
google_trends_gestao_sala_2026-04-08,63238016-acbe-4aa6-85fd-7a36e24a7517,63238016-acbe-4aa6-85fd-7a36e24a7517,2004-01-01,2026-03-01,indisciplina,100,2004-05-01,2004-02-01,266,6,1,"buscar formas de lidar com comportamento, conflitos e falta de respeito em sala",recuperar controle da turma e reduzir desgaste emocional do professor,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,63238016-acbe-4aa6-85fd-7a36e24a7517,63238016-acbe-4aa6-85fd-7a36e24a7517,2004-01-01,2026-03-01,disciplina escolar,25,2004-06-01,2004-06-01,232,6,2,"estabelecer regras, limites e convivencia",reduzir conflitos por meio de normas claras e consistentes,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,63238016-acbe-4aa6-85fd-7a36e24a7517,63238016-acbe-4aa6-85fd-7a36e24a7517,2004-01-01,2026-03-01,gestão de sala de aula,6,2024-06-01,2007-10-01,184,3,3,"organizar rotina, procedimentos e conduzir a turma com previsibilidade",dar fluidez ao dia a dia e evitar improviso constante,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,63238016-acbe-4aa6-85fd-7a36e24a7517,63238016-acbe-4aa6-85fd-7a36e24a7517,2004-01-01,2026-03-01,controle de sala de aula,2,2024-11-01,2012-06-01,82,2,4,retomar controle imediato e ordem na turma,recuperar autoridade pratica quando a turma perde o foco,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,63238016-acbe-4aa6-85fd-7a36e24a7517,63238016-acbe-4aa6-85fd-7a36e24a7517,2004-01-01,2026-03-01,manejo de classe,1,2020-10-01,2020-10-01,5,0,5,buscar classroom management e manejo pedagogico da turma,traduzir um conceito mais tecnico para a pratica docente,low,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,67f0f40c-69c3-48ca-9ed8-09f0310df56e,67f0f40c-69c3-48ca-9ed8-09f0310df56e,2008-01-01,2026-03-01,manejo de classe,100,2010-04-01,2010-04-01,1,0,1,buscar classroom management e manejo pedagogico da turma,traduzir um conceito mais tecnico para a pratica docente,low,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,67f0f40c-69c3-48ca-9ed8-09f0310df56e,67f0f40c-69c3-48ca-9ed8-09f0310df56e,2008-01-01,2026-03-01,indisciplina,54,2011-04-01,2011-04-01,1,0,2,"buscar formas de lidar com comportamento, conflitos e falta de respeito em sala",recuperar controle da turma e reduzir desgaste emocional do professor,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,67f0f40c-69c3-48ca-9ed8-09f0310df56e,67f0f40c-69c3-48ca-9ed8-09f0310df56e,2008-01-01,2026-03-01,gestão de sala de aula,4,2011-10-01,2011-10-01,1,0,3,"organizar rotina, procedimentos e conduzir a turma com previsibilidade",dar fluidez ao dia a dia e evitar improviso constante,high,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,67f0f40c-69c3-48ca-9ed8-09f0310df56e,67f0f40c-69c3-48ca-9ed8-09f0310df56e,2008-01-01,2026-03-01,disciplina escolar,1,2012-01-01,2012-01-01,1,0,4,"estabelecer regras, limites e convivencia",reduzir conflitos por meio de normas claras e consistentes,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
google_trends_gestao_sala_2026-04-08,67f0f40c-69c3-48ca-9ed8-09f0310df56e,67f0f40c-69c3-48ca-9ed8-09f0310df56e,2008-01-01,2026-03-01,controle de sala de aula,1,2013-02-01,2013-02-01,1,0,5,retomar controle imediato e ordem na turma,recuperar autoridade pratica quando a turma perde o foco,medium,Google Trends e normalizado por exportacao; comparacao entre arquivos deve ser qualitativa.
