canal,rank,titulo,visualizacoes,data_publicacao,likes,dislikes,duracao,,,,link,thumbnail,Transcrição do vídeo,Comentários
Grace For Purpose Prayers,12,Seek God and Speak His Word Over Your Life | A Blessed Morning Prayer To Begin Your Day,4254604,20220209,95551,N/D,12:49,https://www.youtube.com/watch?v=kLOBEJ2C0SI,https://i.ytimg.com/vi_webp/kLOBEJ2C0SI/maxresdefault.webp,https://docs.google.com/document/d/1X_X2RBtHbqRmO4rY28J8jSO6xveibCAxoouCtlYYccQ/edit,3600,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, amarelo, marrom; texto visível: SEEK GOD FIRST / MORNING Seana.",,
Grace For Purpose Prayers,13,Quiet Time With The Lord | A Blessed Prayer To Start Your Day,3906212,20220307,101921,N/D,11:21,https://www.youtube.com/watch?v=bwgDrEesvh0,https://i.ytimg.com/vi_webp/bwgDrEesvh0/maxresdefault.webp,https://docs.google.com/document/d/1hGwqqX724iEAt5RHNtsto7fXLJDOi6UthtXWJer5esM/edit,2500,"Thumbnail escura; há figura humana/rosto em destaque; paleta predominante: preto, marrom, branco; texto visível: MORNING PRAYER.",,
Grace For Purpose Prayers,14,Daily Inspirational Prayers That Will Bless and Encourage You | Keep God First!,3674946,20210501,49654,N/D,01:43:53,https://www.youtube.com/watch?v=SxIWCOKS7ss,https://i.ytimg.com/vi_webp/SxIWCOKS7ss/maxresdefault.webp,https://docs.google.com/document/d/1-Ns_f0lQp_Mdha0eRFLwGc9PhHmciq6WpxJOf1Ba-ek/edit,2800,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: azul-petróleo, preto, branco; texto em destaque provavelmente ligado a: INSPIRATIONAL / BLESS / ENCOURAGE / KEEP.",,
Grace For Purpose Prayers,15,Play This Every Night | The Best Prayers To Fall Asleep Blessed | Sleep With God's Word All Night,3130822,20211223,33859,N/D,03:41:52,https://www.youtube.com/watch?v=6KLD6bC0cyg,https://i.ytimg.com/vi_webp/6KLD6bC0cyg/maxresdefault.webp,https://docs.google.com/document/d/1igUInPBv_Ny_mPnxH9w_xKsqs4WiHfurNqfVpuDmqS4/edit,1300,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: azul, rosa, preto; texto em destaque provavelmente ligado a: SLEEP / GOD'S / WORD.",,
Grace For Purpose Prayers,16,Late Night Prayers For Sleep | God's Promises | Fall Asleep To God's Word,3124141,20210925,43349,N/D,06:17:44,https://www.youtube.com/watch?v=J0RUsKvXfl4,https://i.ytimg.com/vi_webp/J0RUsKvXfl4/maxresdefault.webp,,2200,"Thumbnail escura; há figura humana/rosto em destaque; paleta predominante: preto, marrom, branco; texto visível: LATE NIGHT PRAYERS.",,
Grace For Purpose Prayers,17,Start Your Day With This Every Morning! Prayer Changes Your Day!,2921006,20210306,49834,N/D,57:03:00,https://www.youtube.com/watch?v=fdomZscWFyA,https://i.ytimg.com/vi_webp/fdomZscWFyA/maxresdefault.webp,,2700,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: branco, preto, cinza; texto visível: MAKE TIME - e o / FORGOD - / MORNING ye aq.",,
Grace For Purpose Prayers,18,Fall Asleep and Be Blessed With God's Word | Bible Verses To End Your Day,2755322,20201026,47696,N/D,04:10:20,https://www.youtube.com/watch?v=dRxhrVo7MUY,https://i.ytimg.com/vi_webp/dRxhrVo7MUY/maxresdefault.webp,,1500,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, rosa, laranja; texto visível: SLEEP WITHGOD S We / - nr Ue.",,
Grace For Purpose Prayers,19,CALM Bible Sleep Meditation | God's Protection and Blessings - Peaceful Prayer and Scripture,2707525,20201125,47881,N/D,04:43:15,https://www.youtube.com/watch?v=HgIFy5PZg0E,https://i.ytimg.com/vi/HgIFy5PZg0E/maxresdefault.jpg,,2200,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, branco, azul-petróleo; texto em destaque provavelmente ligado a: BIBLE / SLEEP.",,
Grace For Purpose Prayers,20,Start By Saying 'THANK YOU GOD' | A Morning Prayer of Gratitude and Thanks,2514371,20210330,55079,N/D,14:51,https://www.youtube.com/watch?v=oRhJjEnOUBU,https://i.ytimg.com/vi_webp/oRhJjEnOUBU/maxresdefault.webp,,3900,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: branco, cinza, preto; texto visível: START YOUR DAY WITH THIS PRAYER / ce s / a gS ie Sia a Bg.",,
Grace For Purpose Prayers,21,LISTEN EVERY NIGHT | The Best Bedtime Prayers To Bless You As You Fall Asleep,2459983,20220319,24600,N/D,03:40:59,https://www.youtube.com/watch?v=VUsKVQBTuL8,https://i.ytimg.com/vi_webp/VUsKVQBTuL8/maxresdefault.webp,,1000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, marrom, rosa; texto visível: ghee 26g a YT gee no SEE / Le wg A ou at / Cues EO a a ae ae.",,
Grace For Purpose Prayers,22,This Will Help You Fall Asleep Blessed | The Best Peaceful Prayers For Sleep (Listen All Night!),2452598,20220105,25232,N/D,03:41:56,https://www.youtube.com/watch?v=6rFHAENLR78,https://i.ytimg.com/vi/6rFHAENLR78/maxresdefault.jpg,,1100,"Thumbnail escura; não há figura humana clara em destaque; paleta predominante: preto, branco; texto visível: GOODNIGHT ad / SLEEP PRAYERS.",,
Grace For Purpose Prayers,23,The Lord Will Fight For You | Psalm 91 | A Blessed Morning Prayer To Start Your Day,2427682,20230831,54001,N/D,15:09,https://www.youtube.com/watch?v=-bcRSwWxrHo,https://i.ytimg.com/vi_webp/-bcRSwWxrHo/maxresdefault.webp,,3600,"Thumbnail escura; não há figura humana clara em destaque; paleta predominante: marrom, preto, rosa; texto em destaque provavelmente ligado a: LORD / FIGHT / PSALM.",,
Grace For Purpose Prayers,24,God's Morning Blessings | Start Your Day With Powerful Prayers,2420451,20220320,36720,N/D,46:28:00,https://www.youtube.com/watch?v=-F3JdaXcpp0,https://i.ytimg.com/vi/-F3JdaXcpp0/maxresdefault.jpg,,1600,"Thumbnail escura; há figura humana/rosto em destaque; paleta predominante: preto, azul-petróleo, branco; texto visível: - EVERY / A AND / ON THANK GOD.",,
Grace For Purpose Prayers,25,Healing Scriptures | God's Miraculous Word | Bible Verses  For Supernatural Healing,2408926,20200904,34260,N/D,03:38:19,https://www.youtube.com/watch?v=Ist4688Akvk,https://i.ytimg.com/vi_webp/Ist4688Akvk/maxresdefault.webp,,2500,"Thumbnail escura; não há figura humana clara em destaque; paleta predominante: preto, branco, cinza; texto em destaque provavelmente ligado a: HEALING / BIBLE / VERSES.",,
Grace For Purpose Prayers,26,Morning Inspirational Prayers | Start Your Day With God!,2404906,20200815,41011,N/D,01:02:30,https://www.youtube.com/watch?v=v57qVxx42c0,https://i.ytimg.com/vi_webp/v57qVxx42c0/maxresdefault.webp,,3100,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: branco, preto, cinza; texto visível: BEGIN / YOURDAY 7 / BLESSINGS.",,
Grace For Purpose Prayers,27,Start Your Day By Putting God First Every Morning | Blessed Prayers To Invite God's Presence,2364839,20210710,33307,N/D,01:31:11,https://www.youtube.com/watch?v=h-Lqdd3yDQo,https://i.ytimg.com/vi_webp/h-Lqdd3yDQo/maxresdefault.webp,,1500,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: branco, preto, amarelo; texto em destaque provavelmente ligado a: PUTTING / INVITE / GOD'S / PRESENCE.",,
Grace For Purpose Prayers,28,Make Time For God | Blessed Morning Prayers To Begin Your Day Encouraged,2224072,20230819,30251,N/D,01:22:01,https://www.youtube.com/watch?v=P_k3dPaaD1M,https://i.ytimg.com/vi/P_k3dPaaD1M/maxresdefault.jpg,,2000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, laranja, branco; texto visível: PRAY / FIRST a.",,
Grace For Purpose Prayers,29,You Will See The Goodness Of The Lord | A Blessed Morning Prayer To Start Your Day,2175883,20230814,53577,N/D,16:47,https://www.youtube.com/watch?v=AFezAAVFs1M,https://i.ytimg.com/vi_webp/AFezAAVFs1M/maxresdefault.webp,,3600,"Thumbnail escura; há figura humana/rosto em destaque; paleta predominante: preto, branco; texto em destaque provavelmente ligado a: GOODNESS / LORD.",,
Grace For Purpose Prayers,30,Late Night Prayers For Sleep | God's Blessing & Protection | Fall Asleep To God's Word,2155110,20210905,30886,N/D,06:35:40,https://www.youtube.com/watch?v=QQFsCVMBW6Q,https://i.ytimg.com/vi_webp/QQFsCVMBW6Q/maxresdefault.webp,,1600,"Thumbnail escura; há figura humana/rosto em destaque; paleta predominante: preto, marrom, branco; texto em destaque provavelmente ligado a: LATE / SLEEP / GOD'S / BLESSING.",,
DailyEffectivePrayer,1,Morning Prayer Starting Your Day With God | Powerful Prayer For Morning,11533541,20151223,106772,N/D,01:56,https://www.youtube.com/watch?v=N0ClLfhl6Iw,https://i.ytimg.com/vi_webp/N0ClLfhl6Iw/maxresdefault.webp,,12000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: amarelo, marrom, branco; texto em destaque provavelmente ligado a: STARTING.",,
DailyEffectivePrayer,2,Prayer To Cancel Evil Plan Of The Enemy | Prayers Against Evil Plans,5443089,20180217,88205,N/D,05:36,https://www.youtube.com/watch?v=NEBY1ic7M9M,https://i.ytimg.com/vi_webp/NEBY1ic7M9M/maxresdefault.webp,,16000,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, cinza, branco; texto em destaque provavelmente ligado a: CANCEL / EVIL / PLAN / ENEMY.",,
DailyEffectivePrayer,3,Prayer For Family Protection | Prayers To Protect My Family From Evil,5339341,20150831,45466,N/D,02:55,https://www.youtube.com/watch?v=14a96XGTgqM,https://i.ytimg.com/vi_webp/14a96XGTgqM/maxresdefault.webp,,10000,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: marrom, preto, branco; texto em destaque provavelmente ligado a: FAMILY / PROTECTION.",,
DailyEffectivePrayer,4,Prayer For Thanking God | Prayer For Thanksgiving,5237216,20151223,49953,N/D,02:46,https://www.youtube.com/watch?v=uppWgVg6eOU,https://i.ytimg.com/vi_webp/uppWgVg6eOU/maxresdefault.webp,,8800,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, cinza, branco; texto visível: Ss A POWERFUL PRAYER.",,
DailyEffectivePrayer,5,Prayer For a Good Day | Prayers For a Good Day,4801599,20180116,57547,N/D,08:58,https://www.youtube.com/watch?v=smpilwj7S-E,https://i.ytimg.com/vi_webp/smpilwj7S-E/maxresdefault.webp,,9100,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: cinza, branco, marrom; texto visível: _ PRAY THIS TODAY / 7 / DailyEffectivePrayer com.",,
DailyEffectivePrayer,6,Prayer For Financial Miracle | Powerful Prayers For Financial Miracles,4101509,20150927,52479,N/D,03:25,https://www.youtube.com/watch?v=NeacyNw-oBs,https://i.ytimg.com/vi_webp/NeacyNw-oBs/maxresdefault.webp,,11000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, cinza, branco; texto em destaque provavelmente ligado a: FINANCIAL / MIRACLE.",,
DailyEffectivePrayer,7,Prayer For Instant Miracle | Powerful Prayer for a Miracle Today,4063626,20180217,67499,N/D,06:03,https://www.youtube.com/watch?v=uO9qjga7Tlg,https://i.ytimg.com/vi_webp/uO9qjga7Tlg/maxresdefault.webp,,18000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: marrom, branco, cinza; texto em destaque provavelmente ligado a: INSTANT / MIRACLE / TODAY.",,
DailyEffectivePrayer,8,Prayer For My Daughter | Prayers For Your Daughter,4038169,20180117,33274,N/D,06:01,https://www.youtube.com/watch?v=ZyJ3Y73pFus,https://i.ytimg.com/vi_webp/ZyJ3Y73pFus/maxresdefault.webp,,9400,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, cinza, branco; texto visível: PRAY FOR HER TODAY / DailyEffectivePrayer com.",,
DailyEffectivePrayer,9,Prayer For My Son | Prayers For Your Son,3309227,20180120,25658,N/D,05:05,https://www.youtube.com/watch?v=iVxEL0giVQY,https://i.ytimg.com/vi_webp/iVxEL0giVQY/maxresdefault.webp,,8600,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, cinza, branco; sem texto legível em destaque.",,
DailyEffectivePrayer,10,Prayer For Bedtime | Bedtime Prayer That Works,3070148,20151223,33267,N/D,02:08,https://www.youtube.com/watch?v=v2vaeYVBhc8,https://i.ytimg.com/vi_webp/v2vaeYVBhc8/maxresdefault.webp,,4500,"Thumbnail clara; há figura humana/rosto em destaque; paleta predominante: branco, cinza, preto; texto visível: SEDTIME PRAYER / PRAY THIS BEFORE YOU FALL ASLEEP.",,
DailyEffectivePrayer,11,"Prayer For Forgiveness Of Sins, Renewal, and Repentance",3061122,20151219,59365,N/D,02:57,https://www.youtube.com/watch?v=FnsvT5Iy-Xw,https://i.ytimg.com/vi_webp/FnsvT5Iy-Xw/maxresdefault.webp,,11000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: cinza, marrom, branco; texto visível: GOD FORta / A POWEREIIem / bavi sin a a 7.",,
DailyEffectivePrayer,12,The Ultimate Prayer For Healing That Works | Powerful Healing Prayer Miracle,2846291,20150203,38982,N/D,05:50,https://www.youtube.com/watch?v=d2BwqKqGXAs,https://i.ytimg.com/vi_webp/d2BwqKqGXAs/maxresdefault.webp,,7000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: branco, cinza, marrom; texto em destaque provavelmente ligado a: ULTIMATE / HEALING / WORKS / MIRACLE.",,
DailyEffectivePrayer,13,Prayer for Unexpected Money Gifts | Unexpected Money and Income Prayers,2448265,20180216,34918,N/D,06:31,https://www.youtube.com/watch?v=pajK-u8YnXo,https://i.ytimg.com/vi_webp/pajK-u8YnXo/maxresdefault.webp,,10000,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: cinza, marrom, branco; texto em destaque provavelmente ligado a: UNEXPECTED / GIFTS.",,
DailyEffectivePrayer,14,"Prayer Against Evil Spirits | Remove, Get Rid, Ward Off, Drive Away Demons",2390208,20180221,50672,N/D,07:32,https://www.youtube.com/watch?v=6wLvTIH88NI,https://i.ytimg.com/vi_webp/6wLvTIH88NI/maxresdefault.webp,,7000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, cinza, branco; texto em destaque provavelmente ligado a: AGAINST / EVIL / SPIRITS / REMOVE.",,
DailyEffectivePrayer,15,Prayer For God's Help | God Help Me Please Miracle Prayer,2304767,20180131,40321,N/D,04:45,https://www.youtube.com/watch?v=lUP37jyHads,https://i.ytimg.com/vi_webp/lUP37jyHads/maxresdefault.webp,,8000,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: branco, rosa, azul-petróleo; texto visível: GOD HELP Mes / A MIRAGE PALER S.",,
DailyEffectivePrayer,16,Prayer For Immediate Financial Help | Miracle Prayers For Financial Help,2247064,20150927,29606,N/D,03:45,https://www.youtube.com/watch?v=TrmXPrEjY08,https://i.ytimg.com/vi_webp/TrmXPrEjY08/maxresdefault.webp,,7100,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: branco, cinza; texto visível: LFINANGIALMIRACLEsL / a DailyfTeRtivePra pon / TCO EE EO.",,
DailyEffectivePrayer,17,Prayer For Your Children | Daily Prayer For Our Children,2208654,20151101,16484,N/D,03:17,https://www.youtube.com/watch?v=Gqa9KSMc1EA,https://i.ytimg.com/vi_webp/Gqa9KSMc1EA/maxresdefault.webp,,5900,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, cinza, branco; texto visível: as SUHILDREN / i ok WS / 7 i PRAY FOR THEM EVERY DAY.",,
DailyEffectivePrayer,18,Morning Prayer Before You Start Your Day | A Daily Effective Prayer,2092815,20201015,45708,N/D,03:32,https://www.youtube.com/watch?v=kiwTHvI8Gys,https://i.ytimg.com/vi/kiwTHvI8Gys/maxresdefault.jpg,,7300,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: branco, laranja, marrom; texto visível: Wea ING Pie / START YOUR.",,
DailyEffectivePrayer,19,Prayers For Safety and Protection | Protection and Safety Prayers,2035589,20180120,28525,N/D,05:57,https://www.youtube.com/watch?v=Pqsxble1_aQ,https://i.ytimg.com/vi_webp/Pqsxble1_aQ/maxresdefault.webp,,4600,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: marrom, rosa, branco; texto visível: SUPERNATURAL PROTECTION PRAYEBasm.",,
DailyEffectivePrayer,20,Prayer For Night Protection | Night Prayer For Protection,1960873,20180216,27146,N/D,05:30,https://www.youtube.com/watch?v=xUs2SXiEQgM,https://i.ytimg.com/vi_webp/xUs2SXiEQgM/maxresdefault.webp,,3800,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, cinza, branco; texto em destaque provavelmente ligado a: PROTECTION.",,
DailyEffectivePrayer,21,Prayer For Eyes | Healing Prayer For Your Eyes,1922175,20151129,21986,N/D,05:42,https://www.youtube.com/watch?v=UF6DXop-X24,https://i.ytimg.com/vi_webp/UF6DXop-X24/maxresdefault.webp,,6700,"Thumbnail clara; há figura humana/rosto em destaque; paleta predominante: branco, preto, rosa; texto visível: SEALING PRAYER.",,
DailyEffectivePrayer,22,Powerful Prayer For Healing In Jesus Name | Healing Miracle Prayer,1834114,20151116,27763,N/D,05:37,https://www.youtube.com/watch?v=3Juf5IoIcEU,https://i.ytimg.com/vi_webp/3Juf5IoIcEU/maxresdefault.webp,,4600,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: laranja, marrom, branco; texto visível: anklt : R- a Loo / es 4 ectivePrayer cyl Re.",,
DailyEffectivePrayer,23,Prayer For Grandchildren | Pray For Your Grandchildren,1825138,20180112,11787,N/D,06:24,https://www.youtube.com/watch?v=tb-gPmiN3yg,https://i.ytimg.com/vi_webp/tb-gPmiN3yg/maxresdefault.webp,,4400,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: rosa, branco, laranja; texto visível: PRA EORITHEMEVERSDAY / ey - DailyEffectivePrayer com an.",,
DailyEffectivePrayer,24,Prayer For All Your Needs | Prayer For Needs Right Now,1821289,20180202,26099,N/D,06:04,https://www.youtube.com/watch?v=Q9x1kaXYiH4,https://i.ytimg.com/vi_webp/Q9x1kaXYiH4/maxresdefault.webp,,4500,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, marrom, branco; texto visível: PAL to DAILY PRAYER tp / i ee e ae / Nes yea.",,
DailyEffectivePrayer,25,Prayer For God's Blessings | God's Blessings and Favor Prayer Decree,1804519,20180119,24703,N/D,05:13,https://www.youtube.com/watch?v=WUwF72euDkI,https://i.ytimg.com/vi_webp/WUwF72euDkI/maxresdefault.webp,,5000,"Thumbnail clara; não há figura humana clara em destaque; paleta predominante: rosa, branco, laranja; texto em destaque provavelmente ligado a: GOD'S / BLESSINGS / FAVOR / DECREE.",,
DailyEffectivePrayer,26,Prayer For Casting Out Demons | Anointed Prayers To Cast Out Spirits,1751552,20150913,34747,N/D,04:49,https://www.youtube.com/watch?v=V8z5xvV-pco,https://i.ytimg.com/vi_webp/V8z5xvV-pco/maxresdefault.webp,,4900,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: preto, azul-petróleo, branco; texto visível: PRAY THIS PRAGA OUT DEMONS.",,
DailyEffectivePrayer,27,Prayer For Healing Sickness | Short Healing Prayer For The Sick,1725477,20151129,27298,N/D,05:37,https://www.youtube.com/watch?v=3HGoivCkWN8,https://i.ytimg.com/vi_webp/3HGoivCkWN8/maxresdefault.webp,,4700,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: marrom, cinza, branco; texto visível: A MIRACLE HEALING PRAVER.",,
DailyEffectivePrayer,28,How To Pray and Fast For a Breakthrough | Steps To Fasting and Prayer,1659664,20180111,30342,N/D,06:48,https://www.youtube.com/watch?v=xw2uhbBdSVI,https://i.ytimg.com/vi_webp/xw2uhbBdSVI/maxresdefault.webp,,1400,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: marrom, laranja, branco; texto visível: OTR UP AEDIIG CIN an BABVIS BETA N ECE aa se Ss a penn eee ee.",,
DailyEffectivePrayer,29,Prayer Before Communion | Pray This Before Taking Holy Communion,1598392,20180202,17072,N/D,03:43,https://www.youtube.com/watch?v=NzlK1k8o6Pw,https://i.ytimg.com/vi_webp/NzlK1k8o6Pw/maxresdefault.webp,,1400,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: marrom, cinza, branco; texto em destaque provavelmente ligado a: COMMUNION / PRAY / TAKING / HOLY.",,
DailyEffectivePrayer,30,"Prayer For House Blessing, Cleaning, Cleansing | Your Home Is Blessed",1596072,20151223,18949,N/D,01:54,https://www.youtube.com/watch?v=BawAQ8kwHGE,https://i.ytimg.com/vi_webp/BawAQ8kwHGE/maxresdefault.webp,,2000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: cinza, preto, branco; texto em destaque provavelmente ligado a: HOUSE / BLESSING / CLEANING / CLEANSING.",,
Daily Jesus Prayers,1,If You Wake Up Between 3am - 5am  SAY This Powerful Meditation Prayer (Christian Motivation),6483628,20231227,134650,N/D,26:35:00,https://www.youtube.com/watch?v=IKo2LdyVykI,https://i.ytimg.com/vi/IKo2LdyVykI/maxresdefault.jpg,,248000,"Thumbnail média; há figura humana/rosto em destaque; paleta predominante: preto, branco, cinza; texto visível: _ SAY THIS PRAYER.",,
Daily Jesus Prayers,2,Morning Prayer Before You Start Your Day | Powerful Morning Prayer,1872285,20240316,93832,N/D,12:48,https://www.youtube.com/watch?v=HsTWKX_m3zk,https://i.ytimg.com/vi/HsTWKX_m3zk/maxresdefault.jpg,,70000,"Thumbnail média; não há figura humana clara em destaque; paleta predominante: marrom, cinza, branco; texto visível: PRAY BEFORE 4 / YOU START YOUR.",,
